"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",2025-11-22,0.55443335560312,31.4275923760126,0.414639513070089,29.0964982144238,0.75,1,4
"CADPH-FluCAT_Ensemble",2025-11-29,0.584850371238403,42.0289220969753,0.780113930625606,80.554431717003,0.333333333333333,1,4
"CADPH-FluCAT_Ensemble",2025-12-06,0.524730999047944,37.3976023349314,0.691966032360002,69.513350038201,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-12-13,0.764884052283538,63.1353003002642,1.045272967208,114.476120032154,0,1,4
"CEPH-Rtrend_fluH",2025-11-22,0.587006759481428,28.2999623745819,0.541785382047522,43.7980769230769,0.514423076923077,0.879807692307692,208
"CEPH-Rtrend_fluH",2025-11-29,0.69504550358255,35.0248076923077,0.729957157352396,56.4807692307692,0.320512820512821,0.833333333333333,208
"CEPH-Rtrend_fluH",2025-12-06,0.559207160941145,28.4259782608696,0.585914650957107,43.6442307692308,0.471153846153846,0.855769230769231,208
"CEPH-Rtrend_fluH",2025-12-13,0.683562188718485,28.9053344481605,0.688294361998409,41.3461538461538,0.442307692307692,0.75,208
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-11-22,0.670239174546618,18.0600604764107,0.566199498084824,25.4787234042553,0.414893617021277,0.904255319148936,94
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-11-29,0.569945073886338,20.7811499768733,0.507383887170388,28.5797872340426,0.446808510638298,0.851063829787234,94
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-12-06,0.525547554405262,26.6604101295097,0.540803022707028,40.0691489361702,0.351063829787234,0.861702127659574,94
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-12-13,0.69249516047152,28.8659668714556,0.704735439146849,41.3804347826087,0.326086956521739,0.782608695652174,92
"CFA_Pyrenew-Pyrenew_H_Flu",2025-11-22,0.561860441177519,14.4794337862319,0.516153271988763,22.5260416666667,0.395833333333333,0.875,96
"CFA_Pyrenew-Pyrenew_H_Flu",2025-11-29,0.581899640377407,20.1919897644928,0.566858147156477,30.7083333333333,0.46875,0.875,96
"CFA_Pyrenew-Pyrenew_H_Flu",2025-12-06,0.592574089589106,29.6000293921917,0.605203413157553,44.7295918367347,0.448979591836735,0.897959183673469,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-12-13,0.626103781862686,25.8978530797101,0.69845592258981,41.5,0.479166666666667,0.854166666666667,96
"CMU-TimeSeries",2025-11-22,0.605495326572602,29.4733481441962,0.527608900309418,43.5453307184902,0.653846153846154,0.975961538461538,208
"CMU-TimeSeries",2025-11-29,0.612316855816243,30.9129703995802,0.555213515820725,44.7794940551932,0.596153846153846,0.980769230769231,208
