"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_Flu",0.513633742426653,0.0018643186753853,0.474645851878392,0.00274313004002608,0.5,0.944444444444444,54
"CFA_Pyrenew-Pyrenew_HE_Flu",0.519362279081784,0.00184770409841545,0.496137788244936,0.00277084260784878,0.555555555555556,0.944444444444444,54
"CMU-TimeSeries",0.652553548307083,0.00314374077841861,0.635023635510624,0.00493828536205324,0.567307692307692,1,104
"CU-ensemble",0.572187305967314,0.00154605366847826,0.497655204000587,0.0022046875,0.875,1,64
"FluSight-baseline",1,0.00459765854830722,1,0.00707962962962963,0.333333333333333,0.916666666666667,108
"FluSight-ensemble",0.643223874156463,0.00284100569740671,0.602316955850617,0.00442265692804463,0.694444444444444,0.981481481481482,108
"FluSight-trained_mean",0.849082806166857,0.00108964760740722,0.542069479435681,0.000946031123504631,1,1,4
"FluSight-trained_med",0.849082806166857,0.00108964760740722,0.542069479435681,0.000946031123504631,1,1,4
"LosAlamos-DoSiDo",0.793466036344723,0.00358362109500728,0.720680493183423,0.00514436398803121,0.62962962962963,0.953703703703704,108
"LosAlamos-ThinMint",0.788974880037187,0.00339781786592211,0.745761961904673,0.00489243486597295,0.62962962962963,0.916666666666667,108
"MOBS-EpyStrain_Flu",1.1445106250177,0.00419654845612844,1.01867830897297,0.00603862185269557,0.293333333333333,0.693333333333333,75
"NAU-vulPES",0.648246561921707,0.00290857745140392,0.670953984840626,0.00463664421307027,0.648148148148148,0.972222222222222,108
"NEU_ISI-FluBcast",0.953366754871657,0.0044247687185024,0.853761969962471,0.00648744464633186,0.144736842105263,0.526315789473684,76
"UGA_flucast-Copycat",0.765081542452527,0.00376648800676193,0.736384696518409,0.00598435661599232,0.490384615384615,0.913461538461538,104
"UGA_flucast-INFLAenza",0.702813705584372,0.00287307349985206,0.71474040404246,0.00445042634042449,0.68,0.99,100
"UGuelph-CompositeCurve",3.01819025357304,0.029825,1.80016845016912,0.029825,0,0,12
