"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble","06",0.443363834885054,21.8136056800309,1.16115605275891,30.7441951901742,1,1,16
"CEPH-Rtrend_fluH","01",0.725236070905366,6.74597826086957,2.74734024837064,11.85,0.45,1,20
"CEPH-Rtrend_fluH","02",0.677512429325424,1.1360652173913,0.723822962269862,1.6,0.5,0.8,20
"CEPH-Rtrend_fluH","04",0.685750941062845,13.0248043478261,1.60611978500332,19.8,0.75,1,20
"CEPH-Rtrend_fluH","05",0.566651469891066,3.76497826086957,1.43858340864703,5.8,0.3,0.95,20
"CEPH-Rtrend_fluH","06",1.03348379332283,50.7733913043478,3.52055547167522,92.8,0.1,1,20
"CEPH-Rtrend_fluH","08",0.331236073230548,3.47276086956522,0.452670449793157,5.15,0.8,1,20
"CEPH-Rtrend_fluH","09",0.24692891251662,1.71321739130435,0.357426192343613,1.75,0.9,1,20
"CEPH-Rtrend_fluH","10",0.492625870776856,1.18519565217391,1.07645266043708,1.55,0.65,1,20
"CEPH-Rtrend_fluH","11",0.62093510873969,1.06169565217391,0.960993487367188,1.5,0.65,0.95,20
"CEPH-Rtrend_fluH","12",0.899073403568995,36.9032826086957,3.80139800650216,66.65,0.3,1,20
"CEPH-Rtrend_fluH","13",0.527503262607552,7.95660869565217,1.23521313378292,12.85,0.5,1,20
"CEPH-Rtrend_fluH","15",1.07591115462191,4.86176086956522,0.993590923074502,7,0.1,0.6,20
"CEPH-Rtrend_fluH","16",0.382809997025175,1.58671739130435,0.892693653886407,2.2,0.65,1,20
"CEPH-Rtrend_fluH","17",0.554086716138959,13.0928043478261,0.891452280633691,20.3,0.5,1,20
"CEPH-Rtrend_fluH","18",0.339748841864199,4.5745,1.23998314321906,5.55,0.85,1,20
"CEPH-Rtrend_fluH","19",0.37970407397908,2.0724347826087,0.61360539722969,3.05,0.6,0.95,20
"CEPH-Rtrend_fluH","20",0.35053314982868,1.61334782608696,0.934128821825372,1.9,0.65,1,20
"CEPH-Rtrend_fluH","21",0.714147945470215,7.85102173913043,1.68834899744281,13.6,0.15,0.95,20
"CEPH-Rtrend_fluH","22",1.13058117797826,11.6234782608696,2.48916764332364,17.35,0.3,0.7,20
"CEPH-Rtrend_fluH","23",0.359059458405107,1.10854347826087,0.661127838980359,1.6,0.8,1,20
"CEPH-Rtrend_fluH","24",0.54898767298517,4.90569565217391,1.85424818223752,5.95,0.8,1,20
"CEPH-Rtrend_fluH","25",0.214711300982235,3.17973913043478,0.326410031817473,3.55,0.85,1,20
