"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_fluH",2025-04-19,0.788968925283016,327.920869565217,1.08771929824561,496,1,1,1
"CEPH-Rtrend_fluH",2025-04-26,0.751032916681039,435.18652173913,1.17883798428209,783,1,1,2
"CEPH-Rtrend_fluH",2025-05-03,0.472595066985941,376.536086956522,0.504063913514391,561,1,1,3
"CEPH-Rtrend_fluH",2025-05-10,0.419680761590262,372.453043478261,0.451112706164765,564,1,1,4
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-04-19,0.718718468671087,298.722519565217,1.17324561403509,535,0,1,1
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-04-26,0.597490659952793,348.414277173913,0.910440993260714,608.5,0,1,2
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-03,0.50455468183401,344.186679347826,0.703864918884657,601.25,0,1,2
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-10,0.151883065645708,97.1082130434783,0.155650378157295,121,1,1,2
"CFA_Pyrenew-Pyrenew_H_Flu",2025-04-19,1.86386844450674,774.683693478261,2.4078947368421,1098,0,0,1
"CFA_Pyrenew-Pyrenew_H_Flu",2025-04-26,1.11052130528492,639.591154347826,1.55832437310391,1031.5,0,1,2
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-03,0.354489590899146,241.449695652174,0.503791647950524,430.25,0.5,1,2
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-10,0.360713781516012,229.792023913043,0.596089803413938,441.5,0.5,1,2
"CMU-TimeSeries",2025-04-19,1.80901272336629,751.883890849088,3.41419655593972,1556.87362950851,0,1,1
"CMU-TimeSeries",2025-04-26,1.29696289349751,754.472023248426,2.12828147685587,1423.02036371809,0.5,1,2
"CMU-TimeSeries",2025-05-03,0.649050950003228,513.658080578618,0.85661804817449,932.17988756797,0.666666666666667,1,3
"CMU-TimeSeries",2025-05-10,0.478345284552316,417.733549657767,0.618799859239455,727.400577491293,1,1,4
"CMU-climate_baseline",2025-04-19,3.37135122784848,1401.24203985507,6.19462719298245,2824.75,0,1,1
"CMU-climate_baseline",2025-04-26,2.031418345886,1193.01606485507,3.76638144126346,2535.5,0,1,2
"CMU-climate_baseline",2025-05-03,1.0609385949579,838.45209057971,1.68881906299784,1833.83333333333,0,1,3
"CMU-climate_baseline",2025-05-10,0.813540956051839,705.807974184782,1.25435393250003,1462.375,0,1,4
"CU-ensemble",2025-04-19,0.860020461235583,357.452173913043,1.25877192982456,574,1,1,1
"CU-ensemble",2025-04-26,0.615344976455875,361.265217391304,0.815351589359002,556.5,1,1,2
"CU-ensemble",2025-05-03,0.365063298328252,288.686956521739,0.223266024074143,244,1,1,3
"CU-ensemble",2025-05-10,0.29566177937097,293.415652173913,0.0794542111013559,106,1,1,3
"FluSight-baseline",2025-04-19,1,415.632173913043,1,456,1,1,1
"FluSight-baseline",2025-04-26,1,577.308478260869,1,659,1,1,2
"FluSight-baseline",2025-05-03,1,798.747826086957,1,1106.33333333333,1,1,3
"FluSight-baseline",2025-05-10,1,892.011847826087,1,1221.25,1,1,4
"FluSight-ensemble",2025-04-19,0.785277325059574,326.38652173913,1.08771929824561,496,1,1,1
"FluSight-ensemble",2025-04-26,0.59966226993323,350.139782608696,0.841755322461212,564.5,1,1,2
"FluSight-ensemble",2025-05-03,0.347358459613363,275.136956521739,0.252016860378764,274.333333333333,1,1,3
"FluSight-ensemble",2025-05-10,0.301631108665644,265.415326086956,0.206686435357883,248.5,1,1,4
"FluSight-lop_norm",2025-04-19,0.922690840772673,383.5,1.18201754385965,539,1,1,1
"FluSight-lop_norm",2025-04-26,0.723985193392792,422.42847826087,0.960296879693719,641.5,1,1,2
"FluSight-lop_norm",2025-05-03,0.413109726183372,327.268985507246,0.275449821024171,300.666666666667,1,1,3
"FluSight-lop_norm",2025-05-10,0.353450211248812,310.482608695652,0.220455082194226,264.25,1,1,4
"FluSight-trained_mean",2025-04-19,0.920629705796723,382.643325989217,1.36882878402732,624.185925516456,1,1,1
"FluSight-trained_mean",2025-04-26,0.761204083396021,445.053930416406,1.06029745557037,707.343687799704,1,1,2
"FluSight-trained_mean",2025-05-03,0.480066411333422,379.867671295354,0.399754761344329,436.330678322171,1,1,3
"FluSight-trained_mean",2025-05-10,0.391286898114784,344.615651026817,0.323891212678927,386.881974426548,1,1,4
"FluSight-trained_med",2025-04-19,0.807649945273755,335.685302514881,0.953947368421053,435,1,1,1
"FluSight-trained_med",2025-04-26,0.626128059827345,366.513658953753,0.710801456981135,475.66,1,1,2
"FluSight-trained_med",2025-05-03,0.409114825048515,324.081528993603,0.252277325804454,274.805,1,1,3
"FluSight-trained_med",2025-05-10,0.376020590302211,329.537009622547,0.212308930752741,249.28625,1,1,4
"Google_SAI-FluBoostQR",2025-05-10,0.129405024779649,66.8235034019906,0.243595907727316,126.47348964119,0,1,1
"ISU_NiemiLab-GPE",2025-04-19,1.39337225407606,579.130339031749,2.25421355126675,1027.92137937764,1,1,1
"ISU_NiemiLab-GPE",2025-04-26,0.989315256967727,580.012516560189,1.53592366190657,1046.5207892404,1,1,2
"ISU_NiemiLab-GPE",2025-05-03,0.609822251860066,484.417002092737,0.347884420826962,378.586649277093,1,1,3
"ISU_NiemiLab-GPE",2025-05-10,0.48024637230971,423.019090571954,0.367088730412405,441.149577158479,1,1,4
"JHUAPL-DMD",2025-04-19,2.64250777404561,1098.3112507087,1.41282315789474,644.24736,1,1,1
"JHUAPL-DMD",2025-04-26,1.85241547264235,1083.02022008522,1.31207500034497,882.8847435,1,1,2
"JHUAPL-DMD",2025-05-03,1.23280608605713,974.369942556377,0.632809667551936,688.939084666667,1,1,3
"JHUAPL-DMD",2025-05-10,1.13338508424017,983.984307784544,0.54239835483462,636.22021675,1,1,4
"JHU_CSSE-CSSE_Ensemble",2025-04-19,0.880946607471698,366.149753564783,1.3234649122807,603.5,0,1,1
"JHU_CSSE-CSSE_Ensemble",2025-04-26,0.459684265117599,264.859164277174,0.579936928011666,380.333333333333,0.5,1,2
"JHU_CSSE-CSSE_Ensemble",2025-05-03,0.264139133184586,246.712904373986,0.199573355863666,260.333333333333,1,1,2
"JHU_CSSE-CSSE_Ensemble",2025-05-10,0.274357694313494,248.934420875073,0.0955731344948174,127.888888888889,1,1,3
"LUcompUncertLab-chimera",2025-04-19,0.959890329450999,398.961304347826,0.157894736842105,72,1,1,1
"LUcompUncertLab-chimera",2025-04-26,0.596748477997803,348.954565217391,0.568534784049277,377.5,1,1,2
"LUcompUncertLab-chimera",2025-05-03,0.33658484200028,266.08884057971,0.303361180319198,330,1,1,3
"LUcompUncertLab-chimera",2025-05-10,0.417115757828319,361.787608695652,0.607577363113166,707.75,0,1,4
"LosAlamos_NAU-CModel_Flu",2025-04-19,3.53400943455438,1468.84802391304,5.61184210526316,2559,0,1,1
"LosAlamos_NAU-CModel_Flu",2025-04-26,1.7470023196304,1019.55068913043,2.62550648080139,1758.25,0,1,2
"LosAlamos_NAU-CModel_Flu",2025-05-03,1.10087012662068,871.042529710145,1.37975316365393,1500,0,1,3
"LosAlamos_NAU-CModel_Flu",2025-05-10,0.721002079689038,629.480389130435,0.916251121938728,1074.75,0.25,1,4
"MDPredict-SIRS",2025-04-19,0.915799987146871,380.635939527391,1.43597692324561,654.805477,1,1,1
"MDPredict-SIRS",2025-04-26,0.557284564655654,325.49062603587,0.666575274756901,439.0293805,1,1,2
"MDPredict-SIRS",2025-05-03,0.235197567644789,187.308314781768,0.126375748510596,153.641169,1,1,3
"MDPredict-SIRS",2025-05-10,0.198298369907256,172.633080842609,0.112873352172694,134.5874685,1,1,4
"MIGHTE-Joint",2025-04-19,0.58691526998161,243.940869565217,0.410087719298246,187,1,1,1
"MIGHTE-Joint",2025-04-26,0.458335206009933,266.573260869565,0.583786651732223,384.5,0.5,1,2
"MIGHTE-Joint",2025-05-03,0.144320628043819,134.725217391304,0.0396125192825544,53,1,1,2
"MIGHTE-Joint",2025-05-10,0.501017274087167,590.66347826087,0.398299637773867,645.5,0.5,1,2
"MIGHTE-Nsemble",2025-04-19,0.657037890944543,273.086086956522,0.881578947368421,402,1,1,1
"MIGHTE-Nsemble",2025-04-26,0.541797025683891,314.48,0.811011558899015,537.5,0.5,1,2
"MIGHTE-Nsemble",2025-05-03,0.22103892542433,174.703188405797,0.235035047693473,256,0.666666666666667,1,3
"MIGHTE-Nsemble",2025-05-10,0.475625384579509,500.888550724638,0.374586349618903,526,0.666666666666667,0.666666666666667,3
"MOBS-GLEAM_FLUH",2025-04-19,2.26040435104618,939.496774347826,3.34011622807018,1523.093,0,1,1
