"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_Flu",0,0.572883320926574,0.00115404910977076,0.617879351526867,0.00178726639149836,0.541666666666667,0.958333333333333,146
"CFA_Pyrenew-Pyrenew_E_Flu",1,0.893792357494567,0.00307477286134978,0.914198507441043,0.00481962979067369,0.520833333333333,0.9375,146
"CFA_Pyrenew-Pyrenew_HE_Flu",0,0.529757386321065,0.00097353287549638,0.569967584407929,0.00151046232073097,0.554054054054054,0.945945945945946,104
"CFA_Pyrenew-Pyrenew_HE_Flu",1,0.706729599130612,0.00226892393911214,0.71414220029852,0.00352020634012247,0.472222222222222,0.916666666666667,104
"CMU-TimeSeries",0,0.560149198198355,0.00113763612994283,0.602119262521265,0.00178954790057476,0.48,0.97,150
"CMU-TimeSeries",1,0.419772816995146,0.00140559683722266,0.435400923690211,0.00223331909430824,0.44,0.98,150
"CU-ensemble",0,0.76279011335625,0.00147008695652174,0.64116283218249,0.0019,0.88,1,150
"CU-ensemble",1,0.546962141048852,0.00179732260869565,0.46436633540711,0.002332,0.88,1,150
"DMAPRIME-HYB",0,4.13063007730601,0.00422594514826087,6.20900081159944,0.005317256,0,0,2
"FluSight-baseline",0,1,0.00190151382005374,1,0.00275,0.22,1,150
"FluSight-baseline",1,1,0.00329930234186794,1,0.005028,0.46,1,150
"FluSight-ensemble",0,0.578781923945916,0.0011465854210948,0.520768308311371,0.00165918729664246,0.79,0.99,153
"FluSight-ensemble",1,0.454765565145414,0.00151949045259652,0.42170281239987,0.00217485476517178,0.64,1,153
"LosAlamos-DoSiDo",0,0.703449459083951,0.00139877985408844,0.632904968576777,0.00199824139734564,0.62,0.96,150
"LosAlamos-DoSiDo",1,0.634954752892135,0.00212946803869495,0.632093694877437,0.00325528837204883,0.5,0.94,150
"LosAlamos-ThinMint",0,0.916550048099098,0.00180751561063689,0.66131226197112,0.00211278986460827,0.91,1,150
"LosAlamos-ThinMint",1,0.622919668557456,0.00207256134347664,0.481959644216439,0.00246323240763743,0.88,1,150
"MOBS-EpyStrain_Flu",0,1.48501841852427,0.00303859565217391,1.74397275861179,0.005126,0.3,0.94,150
"MOBS-EpyStrain_Flu",1,0.939129759235857,0.00317185217391304,1.02010449932427,0.00522,0.3,0.94,150
"MetroCast-ensemble",0,0.866048940162556,0.00146643715650226,0.849720069832126,0.00187333463617784,0.846153846153846,1,39
"MetroCast-ensemble",1,0.586601715728225,0.00171037077838864,0.495201729568698,0.00211876860462927,0.923076923076923,1,39
"NAU-vulPES",0,0.607346855215773,0.00120139852801694,0.60936158411798,0.00179924703102665,0.66,0.97,150
"NAU-vulPES",1,0.495920061183668,0.00164721940987154,0.496907947091293,0.00254517796297317,0.56,1,150
"NEU_ISI-FluBcast",0,0.679991482497493,0.0012767297537884,0.633584126041013,0.00194820550500743,0.626666666666667,0.946666666666667,114
"NEU_ISI-FluBcast",1,0.505085744106385,0.00155427025605903,0.535543242750533,0.00246414919744193,0.514285714285714,0.914285714285714,114
"UGA_flucast-Copycat",0,0.634988502049199,0.00126555420714332,0.604861673299868,0.0019011577749653,0.52,0.96,150
"UGA_flucast-Copycat",1,0.561910748922823,0.001857582529266,0.576027214644063,0.00291125249396965,0.52,0.96,150
"UGA_flucast-INFLAenza",0,0.66550853152577,0.00131150365488246,0.671690385942053,0.00192767453278027,0.69,0.98,150
"UGA_flucast-INFLAenza",1,0.524986393997038,0.00174720872722008,0.521738022259728,0.00264123615050592,0.6,0.96,150
