"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"NEU_ISI-FluBcast",2026-02-28,0.169842880859028,350.000652173913,0.125433962264151,415.5,1,1,4
"NEU_ISI-FluBcast",2026-03-07,0.235796208120054,234.213913043478,0.160714285714286,243,1,1,4
"NIH-Flu_ARIMA",2026-02-28,0.634867047029617,1308.29081195652,0.640905660377359,2123,0,1,4
"NU-PGF_FLUH",2026-02-28,0.164399479416716,338.783260869565,0.158641509433962,525.5,1,1,4
"NU-PGF_FLUH",2026-03-07,0.357154925705802,354.758260869565,0.457671957671958,692,0,1,4
"OHT_JHU-nbxd",2026-02-28,0.700001311268991,1442.51507173913,0.79206641509434,2623.72,0,1,4
"OHT_JHU-nbxd",2026-03-07,0.659587549670266,655.161430434783,0.597585978835978,903.549999999999,1,1,4
"PSI-PROF",2026-02-28,0.883506195086655,1820.66945,0.906627924528302,3003.205,0,1,4
"PSI-PROF",2026-03-07,0.709788274884595,705.025286956522,0.795178571428571,1202.31,1,1,4
"PSI-PROF_MOA",2026-02-28,0.785000802268759,1617.67623913044,0.890057358490566,2948.315,0,1,4
"PSI-PROF_MOA",2026-03-07,0.684397316601928,679.804713043478,0.711064814814814,1075.13,1,1,4
"SigSci-TSENS",2026-02-28,0.370856197465506,764.235217391304,0.399547169811321,1323.5,0.5,1,4
"SigSci-TSENS",2026-03-07,0.309223283547072,307.148260869565,0.0694444444444444,105,1,1,4
"UGA_CEID-Walk",2026-02-28,1.0677206456929,2200.28605521739,1.07823547169811,3571.655,0,0.5,4
"UGA_CEID-Walk",2026-03-07,0.807239570229094,801.82264173913,1.02331415343915,1547.251,0,1,4
"UGA_CEID-auto_AVG_LB",2026-02-28,0.729999560190821,1504.33342193204,0.58443136797139,1935.92890640523,1,1,4
"UGA_CEID-auto_AVG_LB",2026-03-07,0.750863678573821,745.825056828122,0.197007130402132,297.874781168024,1,1,4
"UGA_flucast-Copycat",2026-02-28,0.819005425151279,1687.75065217391,0.895245283018868,2965.5,0,1,4
"UGA_flucast-Copycat",2026-03-07,0.797372454987074,792.021739130435,0.923941798941799,1397,0,1,4
"UGA_flucast-INFLAenza",2026-02-28,0.59051191392843,1216.88677173913,0.654339622641509,2167.5,0.5,1,4
"UGA_flucast-INFLAenza",2026-03-07,0.558642054989876,554.893323913044,0.608134920634921,919.5,1,1,4
"UGA_flucast-Scenariocast",2026-02-28,0.366139743297205,754.515869565217,0.0860377358490566,285,1,1,4
"UGA_flucast-Scenariocast",2026-03-07,0.450680785759746,447.65652173913,0.130952380952381,198,1,1,4
"UGuelphensemble-GRYPHON",2026-02-28,0.574669522288264,1184.23984901851,0.61408203379037,2034.1467369306,0,1,4
"UGuelphensemble-GRYPHON",2026-03-07,0.490781378053356,487.48802162341,0.381815549080131,577.305110209158,1,1,4
"UI_CompEpi-EpiGen",2026-02-28,0.394637637724122,813.242391304348,0.347471698113208,1151,0.5,1,4
"UI_CompEpi-EpiGen",2026-03-07,0.685560408410175,680.96,0.667989417989418,1010,1,1,4
"UM-DeepOutbreak",2026-02-28,0.703988666964788,1450.73194304348,0.656116650566037,2173.386405,0.5,1,4
"UM-DeepOutbreak",2026-03-07,0.715780941434827,710.977740108695,0.651638158619928,985.276895833331,0,1,4
"UMass-AR2",2026-02-28,0.231561457472248,477.186095311811,0.0981069643074959,324.97931926858,1,1,4
"UMass-AR2",2026-03-07,0.641618725952398,637.313185336594,0.788462758791235,1192.15569129235,0,1,4
"UMass-flusion",2026-02-28,0.427588921799463,881.146155406828,0.479155485122672,1587.20254446885,0,1,4
"UMass-flusion",2026-03-07,0.14167778240417,140.727062885202,0.0927374618436116,140.219042307541,1,1,4
"UMass-trends_ensemble",2026-02-28,0.993175282695564,2046.66804347826,0.929735849056604,3079.75,0,0.5,4
"UMass-trends_ensemble",2026-03-07,0.598229598094343,594.215217391304,0.798280423280423,1207,1,1,4
"UNC_IDD-InfluPaint",2026-02-28,0.133206449609151,274.50278752438,0.124924987774454,413.814022002878,1,1,4
"UNC_IDD-InfluPaint",2026-03-07,0.332812799699776,330.579481112573,0.263985712795021,399.146397746072,1,1,4
"UVAFluX-Ensemble",2026-02-28,0.630398527665402,1299.08239130435,0.737811320754717,2444,0,1,4
"UVAFluX-Ensemble",2026-03-07,0.518449456045481,514.970434782609,0.19973544973545,302,1,1,4
"UVAFluX-FS_OptimWISE",2026-02-28,0.467115894974844,962.600652173913,0.508679245283019,1685,0,1,4
"UVAFluX-FS_OptimWISE",2026-03-07,0.437085643400103,434.152608695652,0.461640211640212,698,1,1,4
"VTSanghani-PRIME",2026-02-28,0.581052933175812,1197.39434782609,0.223094339622641,739,1,1,4
"VTSanghani-PRIME",2026-03-07,0.955534224005785,949.122173913043,0.346560846560847,524,1,1,4
