"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_Flu",0.145487908984685,0.000187191716343413,0.0863641531668031,0.000139820380768635,0.857142857142857,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu",0.146989877908912,0.000189398163815758,0.0985211438792171,0.000160460712288796,0.857142857142857,1,10
"CMU-TimeSeries",0.199984781055945,0.000230217453017388,0.172696196505265,0.000264912233715991,0.833333333333333,1,16
"CU-ensemble",0.362956460756378,0.000535991304347826,0.159111272770938,0.00031,1,1,20
"FluSight-baseline",1,0.00155009972626618,1,0.00218,0.8,1,20
"FluSight-ensemble",0.320842065627045,0.000486613357492997,0.18862874883783,0.000432160795604535,1,1,20
"LosAlamos-DoSiDo",0.423348324288543,0.000658743710368374,0.422585295600861,0.000931885029822856,1,1,20
"LosAlamos-ThinMint",0.511776893885134,0.000764847235588002,0.391586488792583,0.000793463539695046,1,1,20
"MOBS-EpyStrain_Flu",1.38515098244397,0.00200126086956522,1.5780118507799,0.00312,0,0.8,19
"NAU-vulPES",0.545246491453703,0.000856642435391035,0.647069267450693,0.00142713284769275,0.4,1,20
"NEU_ISI-FluBcast",0.34121795888174,0.000494007833205522,0.25141785815945,0.00050216837170286,1,1,20
"UGA_flucast-Copycat",0.739025658183878,0.00116533819376882,0.913219889645522,0.00200870334788088,0.6,1,20
"UGA_flucast-INFLAenza",0.390948565260391,0.000599363311961795,0.501626316698574,0.00104827246740913,0.2,1,20
