"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_fluH",0,0.524514335814998,123.675434782609,0.333894010047564,49.5,1,1,3
"CEPH-Rtrend_fluH",1,0.430319296410811,213.243043478261,0.67966573816156,244,1,1,3
"CFA_Pyrenew-Pyrenew_HE_Flu",0,0.342247556653435,80.7290739130435,0.175579407353693,25.25,1,1,3
"CFA_Pyrenew-Pyrenew_HE_Flu",1,0.364002619858987,180.380073913044,0.686629526462396,246.5,1,1,3
"CFA_Pyrenew-Pyrenew_H_Flu",0,0.296137305864695,69.9448293478261,0.429168134078258,63.75,1,1,3
"CFA_Pyrenew-Pyrenew_H_Flu",1,0.298367001358185,147.8546,0.0501392757660167,18,1,1,3
"CMU-TimeSeries",0,0.460509855978569,108.709697873028,0.528760217373261,79.6261108887227,1,1,3
"CMU-TimeSeries",1,0.216354678962771,107.213714554736,0.0756024126621442,27.1412661457098,1,1,3
"CU-ARNB_Net",0,0.555712973996644,131.119130434783,0.530826004531151,78,1,1,3
"CU-ARNB_Net",1,0.356366625839215,176.596086956522,0.35933147632312,129,1,1,3
"CU-ensemble",0,0.618051131798098,145.88,1.0759886990019,158,1,1,3
"CU-ensemble",1,0.337692453472498,167.342173913043,0.515320334261838,185,1,1,3
"Cornell_JHU-hierarchSIR",0,0.305315841589342,72.4008695652174,0.66780180057959,100,1,1,3
"Cornell_JHU-hierarchSIR",1,0.1164845809103,57.7234782608696,0.16991643454039,61,1,1,3
"DMAPRIME-DLM",0,0.184350392746064,43.4554347826087,0.135682998009898,19.5,1,1,3
"DMAPRIME-DLM",1,0.173146708593769,85.8021739130435,0.442896935933148,159,0,1,3
"Epistorm-Ensemble_Flu",0,0.467631773720788,110.221335925892,0.472333774475254,69.0468465363552,1,1,3
"Epistorm-Ensemble_Flu",1,0.293412305070278,145.39931964247,0.287106628620525,103.071279674768,1,1,3
"FluSight-HJudge_ensemble",0,0.368670245637532,86.9276086956522,0.37481905682221,54.5,1,1,3
"FluSight-HJudge_ensemble",1,0.224907787280786,111.452173913043,0.306406685236769,110,1,1,3
"FluSight-baseline",0,1,235.277826086957,1,145,1,1,3
"FluSight-baseline",1,1,495.546086956522,1,359,1,1,3
"FluSight-ensemble",0,0.379419175291412,89.3819565217391,0.408453715865171,59,1,1,3
"FluSight-ensemble",1,0.212877142125157,105.490434782609,0.323119777158774,116,1,1,3
"FluSight-lop_norm",0,0.408196436501906,96.0884782608696,0.453240729476123,65.5,1,1,3
"FluSight-lop_norm",1,0.259588894465131,128.638260869565,0.323119777158774,116,1,1,3
"FluSight-trained_mean",0,0.303355655629038,71.2180780406339,0.53726135322728,77.3535322404541,1,1,3
"FluSight-trained_mean",1,0.183038030867292,90.7037799605137,0.373548189436627,134.103800007749,1,1,3
"FluSight-trained_med",0,0.40168984490457,94.5658669023922,0.465582277984595,67.0907731041176,1,1,3
"FluSight-trained_med",1,0.243361959346371,120.597066668166,0.392233317721268,140.811761061935,1,1,3
"Gatech-ensemble_stat",0,0.770967204655592,181.742888810094,0.858284013951075,125.330367503275,1,1,3
"Gatech-ensemble_stat",1,0.842329821572847,417.41324700721,0.450412564420028,161.69811062679,1,1,3
"LUcompUncertLab-puca",0,1.32400001537378,308.765652173913,0.139081684115572,19,1,1,1
"LosAlamos-DoSiDo",0,0.291050082855752,68.1767391304348,0.792060401140497,114.5,0.5,1,3
"LosAlamos-DoSiDo",1,0.264030195936674,130.839130434783,0.67966573816156,244,0,1,3
"LosAlamos-ThinMint",0,0.934867585190851,220.245217391304,1.11100066821277,162,1,1,3
"LosAlamos-ThinMint",1,0.527616437202349,261.458260869565,0.0139275766016713,5,1,1,3
